@relation InstanceResultListener

@attribute Key_Dataset {train-weka.filters.unsupervised.attribute.Remove-R1}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.GaussianProcesses}
@attribute Key_Scheme_options {'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"','-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.NormalizedPolyKernel -C 250007 -E 2.0\"','-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"'}
@attribute Key_Scheme_version_ID {-8620066949967678545}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureKernelEvaluations numeric
@attribute measureCacheHits numeric

@data
train-weka.filters.unsupervised.attribute.Remove-R1,3,8,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0535,1580,152,99.650572,178.562235,49.390224,62.828694,0.816211,1049.031978,3287.546717,-2238.514739,6.901526,21.628597,-14.727071,6.039,0.414,5.647113,0.413527,36709104,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,3,9,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0535,1580,164,131.505961,318.993065,55.747026,78.561483,0.655193,1223.866199,4488.646267,-3264.780068,7.462599,27.369794,-19.907196,5.762,0.419,5.547673,0.418657,36400176,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,3,10,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0535,1580,160,129.019345,268.023159,54.356354,72.158608,0.730795,1139.680231,4369.888505,-3230.208273,7.123001,27.311803,-20.188802,5.815,0.415,5.576922,0.415244,36502896,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,4,1,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0535,1579,160,124.769371,256.72884,55.203841,74.394999,0.705426,1117.969998,4365.822267,-3247.852269,6.987312,27.286389,-20.299077,5.992,0.417,5.562254,0.417317,36502896,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,4,2,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0535,1579,160,93.358022,155.299169,49.284531,57.991484,0.846116,1086.045385,3229.092358,-2143.046973,6.787784,20.181827,-13.394044,5.767,0.417,5.552326,0.416803,36502896,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,4,3,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0535,1579,158,111.493261,274.407087,53.093874,76.061771,0.675481,1145.152638,4343.377821,-3198.225182,7.247802,27.489733,-20.241932,5.91,0.419,5.587814,0.41885,36554352,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,4,4,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0535,1579,158,94.545744,159.534941,49.205054,59.998228,0.821493,1097.017771,3215.419642,-2118.401871,6.94315,20.350757,-13.407607,5.969,0.414,5.590314,0.413774,36554352,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,4,5,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0535,1579,161,114.901115,203.790699,51.228418,61.096521,0.840001,1137.531822,3260.757369,-2123.225548,7.065415,20.253151,-13.187736,5.787,0.424,5.566552,0.423741,36477192,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,4,6,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0536,1580,158,119.391956,252.67738,56.407164,76.012528,0.69826,1078.547616,3404.169053,-2325.621437,6.826251,21.545374,-14.719123,5.895,0.417,5.574094,0.416561,36554352,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,4,7,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0536,1580,162,115.19471,227.552648,55.70526,73.377137,0.727029,1117.347461,4311.535336,-3194.187875,6.897207,26.614416,-19.717209,5.911,0.409,5.520857,0.408272,36451504,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,4,8,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0536,1580,158,106.62895,178.111096,47.98152,57.200383,0.863669,1110.738897,2769.542111,-1658.803214,7.029993,17.528748,-10.498755,5.801,0.414,5.581622,0.413612,36554352,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,4,9,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0536,1580,163,97.181456,165.893206,53.642488,66.39733,0.771902,1133.284473,3283.560352,-2150.275879,6.952665,20.144542,-13.191877,5.866,0.413,5.550456,0.413836,36425832,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,4,10,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0536,1580,156,108.178554,218.95497,49.020983,67.591456,0.782889,1096.442746,3299.13887,-2202.696124,7.028479,21.148326,-14.119847,5.966,0.407,5.573738,0.406865,36605872,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,5,1,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0536,1579,159,117.338174,197.749455,56.867168,67.381094,0.798923,1115.446106,3298.97497,-2183.528864,7.015384,20.74827,-13.732886,5.805,0.419,5.588657,0.418125,36528616,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,5,2,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0536,1579,159,96.744722,214.059767,46.945135,66.863434,0.799563,1103.637112,3235.366831,-2131.729718,6.941114,20.348219,-13.407105,5.926,0.426,5.611302,0.421043,36528616,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,5,3,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0536,1579,163,134.98996,317.042162,57.287371,78.486256,0.677109,1170.570263,3258.063442,-2087.49318,7.181413,19.988119,-12.806707,5.933,0.417,5.535381,0.416877,36425832,4346241,511842,?,?,?
